date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-12-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2021-02-01,0.59996400,1.19992800,0.21949448,1.09786763,0.00039521,0.00006585,0.00032936,0.00000000,rebalance
2021-03-01,0.29420000,0.58840001,0.43267587,0.20390271,0.00019097,0.00012980,0.00006117,0.00000000,rebalance
2021-04-01,0.10826617,0.21653233,0.20140747,0.01666513,0.00006542,0.00006042,0.00000500,0.00000000,rebalance
2021-05-03,0.57180041,1.14360081,0.79905640,0.33519063,0.00034027,0.00023972,0.00010056,0.00000000,rebalance
2021-06-01,0.85884263,1.71768526,0.85326668,0.85377880,0.00051211,0.00025598,0.00025613,0.00000000,rebalance
2021-07-02,0.41449293,0.82898585,0.44996874,0.45503173,0.00027150,0.00013499,0.00013651,0.00000000,rebalance
2021-08-02,0.56806988,1.13613977,0.57966784,0.56978562,0.00034484,0.00017390,0.00017094,0.00000000,rebalance
2021-09-01,0.58895585,1.17791170,0.62449695,0.63285372,0.00037721,0.00018735,0.00018986,0.00000000,rebalance
2021-10-04,0.61089492,1.22178983,0.59850371,0.59631816,0.00035845,0.00017955,0.00017890,0.00000000,rebalance
2021-11-01,0.62523917,1.25047833,0.65467109,0.66447425,0.00039574,0.00019640,0.00019934,0.00000000,rebalance
2021-12-01,0.23919253,0.47838506,0.20673014,0.29428841,0.00015031,0.00006202,0.00008829,0.00000000,rebalance
2022-01-03,0.39412147,0.78824293,0.48946861,0.50610658,0.00029867,0.00014684,0.00015183,0.00000000,rebalance
2022-02-04,0.30833127,0.61666254,0.37317490,0.38281872,0.00022680,0.00011195,0.00011485,0.00000000,rebalance
2022-03-01,0.49849837,0.99699675,0.61852229,0.62133751,0.00037196,0.00018556,0.00018640,0.00000000,rebalance
2022-04-01,0.69198993,1.38397986,0.82697368,0.81798354,0.00049349,0.00024809,0.00024540,0.00000000,rebalance
2022-05-03,0.59019079,1.18038158,0.57942947,0.80985825,0.00041679,0.00017383,0.00024296,0.00000000,rebalance
2022-06-01,0.51690541,1.03381083,0.62112626,0.65525291,0.00038291,0.00018634,0.00019658,0.00000000,rebalance
2022-07-04,0.71883315,1.43766630,0.99195703,0.72876925,0.00051622,0.00029759,0.00021863,0.00000000,rebalance
2022-08-01,0.46141599,0.92283197,0.54275706,0.54235268,0.00032553,0.00016283,0.00016271,0.00000000,rebalance
2022-09-01,0.49538942,0.99077883,0.47321222,0.71973895,0.00035789,0.00014196,0.00021592,0.00000000,rebalance
2022-10-03,0.28142294,0.56284588,0.33457678,0.32553857,0.00019803,0.00010037,0.00009766,0.00000000,rebalance
2022-11-01,0.25295592,0.50591184,0.29354002,0.28133656,0.00017246,0.00008806,0.00008440,0.00000000,rebalance
2022-12-01,0.59280228,1.18560457,0.82835795,0.61071554,0.00043172,0.00024851,0.00018321,0.00000000,rebalance
2023-01-03,0.70713241,1.41426482,0.89137878,0.89505122,0.00053593,0.00026741,0.00026852,0.00000000,rebalance
2023-02-01,0.62400028,1.24800056,0.89162599,0.76451139,0.00049684,0.00026749,0.00022935,0.00000000,rebalance
2023-03-01,0.32313985,0.64627970,0.38848317,0.39185650,0.00023410,0.00011654,0.00011756,0.00000000,rebalance
2023-04-03,0.87918218,1.75836435,0.99845459,0.99905384,0.00059925,0.00029954,0.00029972,0.00000000,rebalance
2023-05-02,0.76335573,1.52671145,0.84388166,0.83950996,0.00050502,0.00025316,0.00025185,0.00000000,rebalance
2023-06-01,0.31808998,0.63617996,0.26905664,0.36770169,0.00019103,0.00008072,0.00011031,0.00000000,rebalance
2023-07-03,0.66251402,1.32502805,0.69576087,0.70854590,0.00042129,0.00020873,0.00021256,0.00000000,rebalance
2023-08-01,0.73821737,1.47643474,0.85029289,0.73775719,0.00047642,0.00025509,0.00022133,0.00000000,rebalance
2023-09-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2023-10-03,0.74123208,1.48246415,0.68224261,0.78895062,0.00044136,0.00020467,0.00023669,0.00000000,rebalance
2023-11-01,0.52491859,1.04983719,0.51444188,0.51343173,0.00030836,0.00015433,0.00015403,0.00000000,rebalance
2023-12-01,0.70780792,1.41561584,0.64932163,0.64309031,0.00038772,0.00019480,0.00019293,0.00000000,rebalance
2024-01-02,0.52060083,1.04120165,0.47213213,0.48061560,0.00028582,0.00014164,0.00014418,0.00000000,rebalance
2024-02-01,0.36589722,0.73179444,0.23185067,0.37368088,0.00018166,0.00006956,0.00011210,0.00000000,rebalance
2024-03-01,0.57511956,1.15023911,0.48501309,0.51130497,0.00029890,0.00014550,0.00015339,0.00000000,rebalance
2024-04-02,0.41651855,0.83303710,0.45134555,0.27786398,0.00021876,0.00013540,0.00008336,0.00000000,rebalance
