date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-11-16,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-11-23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-11-30,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-07,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.23996544,0.47993089,0.47993089,0.00000000,0.00014398,0.00014398,0.00000000,0.00000000,rebalance
2021-01-11,0.24575994,0.49151989,0.24536580,0.25721735,0.00015077,0.00007361,0.00007717,0.00000000,rebalance
2021-01-18,0.50802771,1.01605543,0.80175408,0.27044983,0.00032166,0.00024053,0.00008113,0.00000000,rebalance
2021-01-25,0.61995536,1.23991073,0.54839244,0.86871315,0.00042513,0.00016452,0.00026061,0.00000000,rebalance
2021-02-01,0.59342740,1.18685480,0.52392040,0.77199403,0.00038877,0.00015718,0.00023160,0.00000000,rebalance
2021-02-08,0.72352843,1.44705686,1.06265880,0.53983656,0.00048075,0.00031880,0.00016195,0.00000000,rebalance
2021-02-16,0.72128284,1.44256568,0.85600026,0.85979312,0.00051474,0.00025680,0.00025794,0.00000000,rebalance
2021-02-22,0.71814052,1.43628103,0.52437866,1.04537089,0.00047092,0.00015731,0.00031361,0.00000000,rebalance
2021-03-01,0.12944716,0.25889433,0.00000000,0.29348383,0.00008805,0.00000000,0.00008805,0.00000000,rebalance
2021-03-08,0.23996544,0.47993089,0.53877520,0.00000000,0.00016163,0.00016163,0.00000000,0.00000000,rebalance
2021-03-15,0.50809705,1.01619410,0.76603589,0.44386303,0.00036297,0.00022981,0.00013316,0.00000000,rebalance
2021-03-22,0.31452274,0.62904548,0.37417762,0.37139412,0.00022367,0.00011225,0.00011142,0.00000000,rebalance
2021-03-29,0.41031398,0.82062795,0.45683125,0.50710114,0.00028918,0.00013705,0.00015213,0.00000000,rebalance
2021-04-07,0.86583997,1.73167994,1.07543834,1.02909616,0.00063136,0.00032263,0.00030873,0.00000000,rebalance
2021-04-12,0.69550662,1.39101323,0.82909029,0.82958789,0.00049760,0.00024873,0.00024888,0.00000000,rebalance
2021-04-19,0.41155986,0.82311972,0.50570620,0.50460682,0.00030309,0.00015171,0.00015138,0.00000000,rebalance
2021-04-26,0.46614149,0.93228298,0.57943873,0.57775625,0.00034716,0.00017383,0.00017333,0.00000000,rebalance
2021-05-03,0.29971277,0.59942554,0.37362394,0.37728133,0.00022527,0.00011209,0.00011318,0.00000000,rebalance
2021-05-10,0.59107837,1.18215673,0.74568431,0.73384243,0.00044386,0.00022371,0.00022015,0.00000000,rebalance
2021-05-17,0.51689440,1.03378880,0.60628321,0.60862716,0.00036447,0.00018188,0.00018259,0.00000000,rebalance
2021-05-24,0.41604884,0.83209767,0.47943226,0.49002936,0.00029084,0.00014383,0.00014701,0.00000000,rebalance
2021-05-31,0.37238618,0.74477235,0.46883574,0.46250807,0.00027940,0.00014065,0.00013875,0.00000000,rebalance
2021-06-07,0.44549532,0.89099063,0.56015760,0.57236102,0.00033976,0.00016805,0.00017171,0.00000000,rebalance
2021-06-15,0.52911740,1.05823480,0.70886776,0.69526263,0.00042124,0.00021266,0.00020858,0.00000000,rebalance
2021-06-21,0.64318902,1.28637803,0.82432804,0.84044379,0.00049943,0.00024730,0.00025213,0.00000000,rebalance
2021-06-28,0.74332913,1.48665826,1.02322721,1.01522026,0.00061153,0.00030697,0.00030457,0.00000000,rebalance
2021-07-05,0.57303846,1.14607692,0.81570623,0.81796827,0.00049010,0.00024471,0.00024539,0.00000000,rebalance
2021-07-12,0.34234387,0.68468775,0.48706769,0.47429053,0.00028841,0.00014612,0.00014229,0.00000000,rebalance
2021-07-19,0.74352612,1.48705225,1.02963856,1.04037454,0.00062100,0.00030889,0.00031211,0.00000000,rebalance
2021-07-26,0.67468935,1.34937870,0.86670582,0.87017748,0.00052106,0.00026001,0.00026105,0.00000000,rebalance
2021-08-02,0.48259608,0.96519217,0.63887889,0.63926233,0.00038344,0.00019166,0.00019178,0.00000000,rebalance
2021-08-09,0.66806126,1.33612253,0.88974101,0.89027502,0.00053400,0.00026692,0.00026708,0.00000000,rebalance
2021-08-16,0.61502904,1.23005809,0.82473387,0.83645911,0.00049836,0.00024742,0.00025094,0.00000000,rebalance
2021-08-23,0.53396025,1.06792050,0.74504037,0.73290057,0.00044338,0.00022351,0.00021987,0.00000000,rebalance
2021-08-30,0.80355866,1.60711732,1.13681696,1.13885596,0.00068270,0.00034105,0.00034166,0.00000000,rebalance
2021-09-06,0.64113788,1.28227576,0.92034507,0.92089744,0.00055237,0.00027610,0.00027627,0.00000000,rebalance
2021-09-13,0.77476126,1.54952252,1.13038056,1.13105899,0.00067843,0.00033911,0.00033932,0.00000000,rebalance
2021-09-20,0.64254565,1.28509130,0.88001390,0.88054207,0.00052817,0.00026400,0.00026416,0.00000000,rebalance
2021-09-27,0.60508610,1.21017219,0.80119431,0.79149405,0.00047781,0.00024036,0.00023745,0.00000000,rebalance
2021-10-04,0.33552293,0.67104585,0.42059679,0.43103035,0.00025549,0.00012618,0.00012931,0.00000000,rebalance
2021-10-11,0.31425340,0.62850681,0.35632093,0.37740607,0.00022012,0.00010690,0.00011322,0.00000000,rebalance
2021-10-18,0.27678449,0.55356898,0.33339274,0.32185776,0.00019658,0.00010002,0.00009656,0.00000000,rebalance
2021-10-25,0.34888727,0.69777455,0.43778652,0.41831357,0.00025683,0.00013134,0.00012549,0.00000000,rebalance
2021-11-01,0.52545780,1.05091560,0.61618698,0.62715629,0.00037300,0.00018486,0.00018815,0.00000000,rebalance
2021-11-08,0.61208730,1.22417461,0.69955141,0.68697685,0.00041596,0.00020987,0.00020609,0.00000000,rebalance
2021-11-15,0.38259336,0.76518671,0.44054227,0.45380109,0.00026830,0.00013216,0.00013614,0.00000000,rebalance
