date,portfolio_return,nav,drawdown,trading_cost
2020-12-14,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-18,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-24,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-31,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-08,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-15,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-22,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-29,0.00000000,1.00000000,0.00000000,0.00000000
2021-02-05,0.00310793,1.00310793,0.00000000,0.00014398
2021-02-11,0.05864692,1.06193711,0.00000000,0.00045255
2021-02-19,0.02845349,1.09215293,0.00000000,0.00028678
2021-02-26,-0.13569622,0.94395190,-0.13569622,0.00029020
2021-03-05,0.02970925,0.97199600,-0.11001841,0.00026776
2021-03-12,0.03852163,1.00943888,-0.07573486,0.00034358
2021-03-19,-0.00344485,1.00596151,-0.07891881,0.00029852
2021-03-26,-0.00414445,1.00179236,-0.08273619,0.00021581
2021-04-01,0.00859557,1.01040333,-0.07485178,0.00014790
2021-04-09,0.00923325,1.01973264,-0.06630966,0.00030303
2021-04-16,0.01030094,1.03023684,-0.05669178,0.00048687
2021-04-23,-0.00308397,1.02705962,-0.05960091,0.00026344
2021-04-30,0.02081581,1.04843870,-0.04002574,0.00033978
2021-05-07,-0.01724665,1.03035665,-0.05658207,0.00036293
2021-05-14,-0.07231059,0.95585095,-0.12480118,0.00043774
2021-05-21,0.03516231,0.98946088,-0.09402717,0.00035461
2021-05-28,0.02432913,1.01353360,-0.07198564,0.00027924
2021-06-04,0.03463440,1.04863673,-0.03984442,0.00024275
2021-06-11,0.05215744,1.10333093,0.00000000,0.00034317
2021-06-18,-0.00340711,1.09957177,-0.00340711,0.00023445
2021-06-25,0.02389555,1.12584663,0.00000000,0.00056602
2021-07-02,0.04132504,1.17237229,0.00000000,0.00050882
2021-07-09,0.02707945,1.20411948,0.00000000,0.00042917
2021-07-16,0.00542735,1.21065466,0.00000000,0.00024860
2021-07-23,-0.03711016,1.16572707,-0.03711016,0.00053529
2021-07-30,-0.04089888,1.11805013,-0.07649128,0.00044914
2021-08-06,0.04120489,1.16411927,-0.03843820,0.00033052
2021-08-13,0.00247627,1.16700194,-0.03605712,0.00046030
2021-08-20,-0.04036398,1.11989709,-0.07496569,0.00042957
2021-08-27,0.06067678,1.18784884,-0.01883759,0.00038218
2021-09-03,0.05242333,1.25011983,0.00000000,0.00058847
2021-09-10,-0.02083177,1.22407762,-0.02083177,0.00047613
2021-09-17,0.00302828,1.22778447,-0.01786657,0.00058479
2021-09-24,-0.03471828,1.18515791,-0.05196455,0.00045526
2021-09-30,-0.02231754,1.15870810,-0.07312237,0.00041185
2021-10-08,-0.09378353,1.05004036,-0.16004823,0.00022022
2021-10-15,-0.02580047,1.02294883,-0.18171938,0.00018973
2021-10-22,0.00415621,1.02720041,-0.17831844,0.00016944
2021-10-29,-0.00192217,1.02522596,-0.17989785,0.00022138
2021-11-05,-0.03221983,0.99219336,-0.20632140,0.00032152
2021-11-12,0.00716360,0.99930104,-0.20063580,0.00035854
2021-11-19,0.04727477,1.04654277,-0.16284604,0.00023127
2021-11-26,-0.00660682,1.03962845,-0.16837696,0.00034772
2021-12-03,0.00619515,1.04606911,-0.16322493,0.00018551
2021-12-10,-0.00505061,1.04078582,-0.16745115,0.00045429
2021-12-17,0.05540302,1.09844850,-0.12132543,0.00036450
2021-12-24,0.06796676,1.17310649,-0.06160476,0.00029382
2021-12-31,-0.02468793,1.14414492,-0.08477180,0.00024733
2022-01-07,-0.00012763,1.14399889,-0.08488861,0.00038079
2022-01-14,-0.00170409,1.14204941,-0.08644805,0.00018213
2022-01-21,-0.01505612,1.12485458,-0.10020259,0.00033512
2022-01-28,-0.04318361,1.07627931,-0.13905909,0.00041575
2022-02-04,0.03619568,1.11523596,-0.10789675,0.00040762
2022-02-11,0.01597320,1.13304985,-0.09364700,0.00033465
2022-02-18,-0.00726335,1.12482011,-0.10023017,0.00031978
2022-02-25,-0.04219894,1.07735390,-0.13819950,0.00019657
2022-03-04,0.01589135,1.09447450,-0.12450433,0.00021332
2022-03-11,-0.04997601,1.03977703,-0.16825811,0.00040031
2022-03-18,0.00156127,1.04140040,-0.16695954,0.00029431
2022-03-25,-0.05246576,0.98676254,-0.21066563,0.00029340
2022-04-01,-0.01081663,0.97608910,-0.21920357,0.00035683
2022-04-08,0.01302112,0.98879887,-0.20903673,0.00023519
2022-04-14,0.00000000,0.98879887,-0.20903673,0.00000000
2022-04-22,0.00000000,0.98879887,-0.20903673,0.00000000
2022-04-29,0.00000000,0.98879887,-0.20903673,0.00000000
2022-05-06,0.00000000,0.98879887,-0.20903673,0.00000000
2022-05-13,0.00000000,0.98879887,-0.20903673,0.00000000
2022-05-20,0.00000000,0.98879887,-0.20903673,0.00000000
2022-05-27,0.00000000,0.98879887,-0.20903673,0.00000000
2022-06-02,0.00000000,0.98879887,-0.20903673,0.00000000
2022-06-10,0.00000000,0.98879887,-0.20903673,0.00000000
2022-06-17,0.00000000,0.98879887,-0.20903673,0.00000000
2022-06-24,0.00000000,0.98879887,-0.20903673,0.00000000
2022-06-30,0.00856384,0.99726678,-0.20226305,0.00023132
2022-07-08,0.00450815,1.00176261,-0.19866673,0.00036528
2022-07-15,-0.02375411,0.97796663,-0.21770169,0.00025725
2022-07-22,0.01250280,0.99019395,-0.20792077,0.00023151
2022-07-29,0.00530638,0.99544830,-0.20371770,0.00023165
2022-08-05,-0.00449314,0.99097560,-0.20729551,0.00012119
2022-08-12,-0.02268357,0.96849674,-0.22527688,0.00022805
2022-08-19,-0.02121805,0.94794712,-0.24171499,0.00021928
2022-08-26,0.00523226,0.95290703,-0.23774745,0.00022177
2022-09-02,0.03091523,0.98236637,-0.21418224,0.00027231
2022-09-09,-0.00928096,0.97324907,-0.22147538,0.00023108
2022-09-16,0.00000000,0.97324907,-0.22147538,0.00000000
2022-09-23,0.00000000,0.97324907,-0.22147538,0.00000000
2022-09-30,0.00000000,0.97324907,-0.22147538,0.00000000
2022-10-07,0.00000000,0.97324907,-0.22147538,0.00000000
2022-10-14,0.00000000,0.97324907,-0.22147538,0.00000000
2022-10-21,0.00000000,0.97324907,-0.22147538,0.00000000
2022-10-28,0.00000000,0.97324907,-0.22147538,0.00000000
2022-11-04,0.00000000,0.97324907,-0.22147538,0.00000000
2022-11-11,0.00000000,0.97324907,-0.22147538,0.00000000
2022-11-18,0.00000000,0.97324907,-0.22147538,0.00000000
2022-11-25,-0.03797450,0.93629042,-0.25103946,0.00022769
2022-12-02,0.02941222,0.96382880,-0.22901087,0.00033511
2022-12-09,0.05481586,1.01666190,-0.18674844,0.00034953
2022-12-16,-0.02557095,0.99066489,-0.20754406,0.00023609
2022-12-23,0.00342051,0.99405347,-0.20483345,0.00027985
2022-12-30,0.01394099,1.00791156,-0.19374804,0.00029171
2023-01-06,0.03936445,1.04758744,-0.16201038,0.00040901
2023-01-13,0.08445845,1.13606506,-0.09123507,0.00031422
2023-01-20,-0.01385690,1.12032272,-0.10382773,0.00028129
2023-01-27,0.01535057,1.13752031,-0.09007098,0.00031087
2023-02-03,-0.05207159,1.07828782,-0.13745243,0.00038915
2023-02-10,-0.06156151,1.01190679,-0.19055216,0.00017850
2023-02-17,-0.01636102,0.99535096,-0.20379556,0.00026201
2023-02-24,-0.03617071,0.95934841,-0.23259484,0.00017083
2023-03-03,0.04175448,0.99940551,-0.20055223,0.00011978
2023-03-10,-0.06234939,0.93709319,-0.25039731,0.00043935
2023-03-17,0.03069968,0.96586164,-0.22738475,0.00023454
2023-03-24,-0.01387513,0.95246019,-0.23810489,0.00034080
2023-03-31,-0.01598082,0.93723909,-0.25028060,0.00040664
2023-04-06,0.02122351,0.95713059,-0.23436892,0.00052525
2023-04-14,0.03426710,0.98992868,-0.20813297,0.00042597
2023-04-21,-0.03364081,0.95662668,-0.23477202,0.00028884
2023-04-28,0.00693562,0.96326148,-0.22946468,0.00037366
2023-05-05,0.00615334,0.96918876,-0.22472332,0.00043894
2023-05-12,-0.03098384,0.93915956,-0.24874437,0.00035670
