date,portfolio_return,nav,drawdown,trading_cost
2020-01-06,0.00000000,1.00000000,0.00000000,0.00000000
2020-01-10,0.01375057,1.01375057,0.00000000,0.00029991
2020-01-17,0.01377133,1.02771126,0.00000000,0.00004363
2020-01-24,-0.04911263,0.97723766,-0.04911263,0.00006505
2020-01-31,-0.05930189,0.91928562,-0.10550205,0.00006161
2020-02-07,0.03824735,0.95444586,-0.07128987,0.00009321
2020-02-14,0.02208876,0.97552838,-0.05077582,0.00014011
2020-02-21,-0.00979620,0.96597191,-0.06007461,0.00003556
2020-02-28,-0.03300812,0.93408699,-0.09109978,0.00003164
2020-03-06,0.01384957,0.94702369,-0.07851190,0.00011134
2020-03-13,-0.05368766,0.89618021,-0.12798444,0.00010496
2020-03-20,-0.04918820,0.85209872,-0.17087732,0.00013136
2020-03-27,0.02307420,0.87176021,-0.15174598,0.00003131
2020-04-03,-0.00619113,0.86636303,-0.15699763,0.00019306
2020-04-09,0.00000000,0.86636303,-0.15699763,0.00000000
2020-04-17,0.00000000,0.86636303,-0.15699763,0.00000000
2020-04-24,0.00000000,0.86636303,-0.15699763,0.00000000
2020-04-29,0.00000000,0.86636303,-0.15699763,0.00000000
2020-05-08,0.00000000,0.86636303,-0.15699763,0.00000000
2020-05-15,0.00000000,0.86636303,-0.15699763,0.00000000
2020-05-22,-0.02290396,0.84651989,-0.17630572,0.00019489
2020-05-29,0.03103977,0.87279567,-0.15073844,0.00008813
2020-06-05,0.04441108,0.91155746,-0.11302182,0.00003437
2020-06-12,-0.00929954,0.90308040,-0.12127031,0.00012928
2020-06-19,0.02638516,0.92690832,-0.09808488,0.00005396
2020-06-26,0.00867311,0.93494750,-0.09026247,0.00012064
2020-07-03,0.04978318,0.98149216,-0.04497285,0.00008592
2020-07-10,0.02314930,1.00421302,-0.02286464,0.00011561
2020-07-17,-0.03711656,0.96694008,-0.05913254,0.00010863
2020-07-24,0.02028696,0.98655635,-0.04004521,0.00007521
2020-07-31,0.00117945,0.98771995,-0.03891299,0.00006735
2020-08-07,0.01515092,1.00268481,-0.02435164,0.00004239
2020-08-14,-0.00851124,0.99415072,-0.03265561,0.00003850
2020-08-21,0.03599789,1.02993805,0.00000000,0.00007363
2020-08-28,0.04873572,1.08013282,0.00000000,0.00003717
2020-09-04,-0.01827741,1.06039079,-0.01827741,0.00000000
2020-09-11,-0.02723721,1.03150870,-0.04501680,0.00009065
2020-09-18,0.01875132,1.05085085,-0.02710960,0.00006709
2020-09-25,-0.04838140,1.00000922,-0.07417940,0.00011775
2020-09-30,0.03626202,1.03627157,-0.04060727,0.00004131
2020-10-09,0.05523001,1.09350486,0.00000000,0.00004336
2020-10-16,0.00238171,1.09610928,0.00000000,0.00004530
2020-10-23,-0.00156707,1.09439159,-0.00156707,0.00008648
2020-10-30,0.01583701,1.11172348,0.00000000,0.00013541
2020-11-06,0.09150431,1.21345098,0.00000000,0.00008074
2020-11-13,-0.02525223,1.18280864,-0.02525223,0.00012716
2020-11-20,0.14354929,1.35259998,0.00000000,0.00012060
2020-11-27,-0.00433662,1.34673427,-0.00433662,0.00004734
2020-12-04,-0.01009627,1.33313728,-0.01438910,0.00011540
2020-12-11,-0.00272494,1.32950456,-0.01707483,0.00008997
2020-12-18,0.00860295,1.34094222,-0.00861877,0.00000715
2020-12-24,0.01787145,1.36490680,0.00000000,0.00009044
2020-12-31,0.04919691,1.43205600,0.00000000,0.00012181
2021-01-08,0.04604576,1.49799611,0.00000000,0.00017038
2021-01-15,0.02033248,1.52845408,0.00000000,0.00017364
2021-01-22,0.06857249,1.63326399,0.00000000,0.00011684
2021-01-29,-0.04239979,1.56401393,-0.04239979,0.00007268
2021-02-05,0.06316755,1.66280886,0.00000000,0.00008349
2021-02-11,0.04070343,1.73049088,0.00000000,0.00007334
2021-02-19,-0.01767618,1.69990241,-0.01767618,0.00008275
2021-02-26,-0.15366618,1.43868490,-0.16862613,0.00006791
2021-03-05,-0.00685242,1.42882643,-0.17432305,0.00002390
2021-03-12,-0.01728188,1.40413362,-0.18859230,0.00010271
2021-03-19,-0.01940631,1.37688457,-0.20433873,0.00004133
2021-03-26,-0.01590986,1.35497853,-0.21699759,0.00008875
2021-04-01,0.03413650,1.40123276,-0.19026863,0.00013540
2021-04-09,-0.02487012,1.36638393,-0.21040674,0.00014572
2021-04-16,0.00631659,1.37501482,-0.20541921,0.00009467
2021-04-23,0.01888757,1.40098551,-0.19041150,0.00009996
2021-04-30,-0.03270886,1.35516088,-0.21689222,0.00009799
2021-05-07,0.00987246,1.36853965,-0.20916102,0.00025863
