date,portfolio_return,nav,drawdown,trading_cost
2020-12-14,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-18,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-24,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-31,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-08,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-15,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-22,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-29,0.00000000,1.00000000,0.00000000,0.00000000
2021-02-05,0.00336688,1.00336688,0.00000000,0.00015598
2021-02-11,0.05961587,1.06318347,0.00000000,0.00046527
2021-02-19,0.02845349,1.09343475,0.00000000,0.00028711
2021-02-26,-0.14261700,0.93749236,-0.14261700,0.00030296
2021-03-05,0.03240710,0.96787377,-0.11483170,0.00028953
2021-03-12,0.04166901,1.00820412,-0.07794762,0.00037029
2021-03-19,-0.00378314,1.00438994,-0.08143587,0.00032203
2021-03-26,-0.00439333,0.99997733,-0.08547142,0.00023686
2021-04-01,0.00905510,1.00903223,-0.07719027,0.00015685
2021-04-09,0.00923325,1.01834887,-0.06866974,0.00030262
2021-04-16,0.01030094,1.02883882,-0.05907617,0.00048621
2021-04-23,-0.00308397,1.02566591,-0.06197794,0.00026309
2021-04-30,0.02081581,1.04701598,-0.04245225,0.00033932
2021-05-07,-0.01724665,1.02895847,-0.05896674,0.00036244
2021-05-14,-0.07231059,0.95455387,-0.12701341,0.00043714
2021-05-21,0.03428854,0.98728413,-0.09707997,0.00036347
2021-05-28,0.02396320,1.01094262,-0.07544312,0.00028193
2021-06-04,0.03463440,1.04595601,-0.04342165,0.00024213
2021-06-11,0.05215744,1.10051040,0.00000000,0.00034229
2021-06-18,-0.00340711,1.09676085,-0.00340711,0.00023385
2021-06-25,0.02389555,1.12296854,0.00000000,0.00056458
2021-07-02,0.04132504,1.16937526,0.00000000,0.00050752
2021-07-09,0.02707945,1.20104130,0.00000000,0.00042808
2021-07-16,0.00542735,1.20755977,0.00000000,0.00024796
2021-07-23,-0.03711016,1.16274703,-0.03711016,0.00053392
2021-07-30,-0.04089888,1.11519198,-0.07649128,0.00044799
2021-08-06,0.04120489,1.16114334,-0.03843820,0.00032967
2021-08-13,0.00247627,1.16401864,-0.03605712,0.00045912
2021-08-20,-0.04036398,1.11703421,-0.07496569,0.00042847
2021-08-27,0.06067678,1.18481225,-0.01883759,0.00038120
2021-09-03,0.05242333,1.24692405,0.00000000,0.00058696
2021-09-10,-0.02083177,1.22094842,-0.02083177,0.00047491
2021-09-17,0.00302828,1.22464579,-0.01786657,0.00058329
2021-09-24,-0.03471828,1.18212820,-0.05196455,0.00045410
2021-09-30,-0.02231754,1.15574600,-0.07312237,0.00041080
2021-10-08,-0.09378353,1.04735606,-0.16004823,0.00021966
2021-10-15,-0.02580047,1.02033378,-0.18171938,0.00018925
2021-10-22,0.00415621,1.02457450,-0.17831844,0.00016901
2021-10-29,-0.00192217,1.02260510,-0.17989785,0.00022081
2021-11-05,-0.03221983,0.98965694,-0.20632140,0.00032069
2021-11-12,0.00716360,0.99674645,-0.20063580,0.00035763
2021-11-19,0.04727477,1.04386741,-0.16284604,0.00023068
2021-11-26,-0.00660682,1.03697077,-0.16837696,0.00034683
2021-12-03,0.00619515,1.04339496,-0.16322493,0.00018504
2021-12-10,-0.00505061,1.03812518,-0.16745115,0.00045313
2021-12-17,0.05540302,1.09564045,-0.12132543,0.00036357
2021-12-24,0.06796676,1.17010759,-0.06160476,0.00029307
2021-12-31,-0.02468793,1.14122005,-0.08477180,0.00024669
2022-01-07,-0.00623299,1.13410683,-0.09047642,0.00041539
2022-01-14,-0.00195420,1.13189056,-0.09225381,0.00021458
2022-01-21,-0.01779501,1.11174856,-0.10840716,0.00039215
2022-01-28,-0.04432290,1.06247263,-0.14792514,0.00043045
2022-02-04,0.04128176,1.10633337,-0.11274999,0.00042248
2022-02-11,0.01883859,1.12717514,-0.09603545,0.00039084
2022-02-18,-0.00855400,1.11753328,-0.10376796,0.00037407
2022-02-25,-0.04972415,1.06196489,-0.14833234,0.00023029
2022-03-04,0.01887315,1.08200750,-0.13225869,0.00024957
2022-03-11,-0.05887804,1.01830103,-0.18334960,0.00046690
2022-03-18,0.00086331,1.01918013,-0.18264458,0.00033846
2022-03-25,-0.06106998,0.95693883,-0.23256045,0.00033994
2022-04-01,-0.01145791,0.94597431,-0.24135371,0.00040991
2022-04-08,0.01623525,0.96133244,-0.22903689,0.00042800
2022-04-14,0.00723156,0.96828437,-0.22346163,0.00025250
2022-04-22,-0.03114970,0.93812260,-0.24765057,0.00020653
2022-04-29,-0.02097789,0.91844277,-0.26343327,0.00015464
2022-05-06,-0.00449764,0.91431194,-0.26674609,0.00020917
2022-05-13,-0.00016042,0.91416527,-0.26686371,0.00008619
2022-05-20,0.02175551,0.93405340,-0.25091396,0.00020301
2022-05-27,0.00218775,0.93609687,-0.24927515,0.00015335
2022-06-02,0.00027195,0.93635145,-0.24907099,0.00020662
2022-06-10,-0.03484037,0.90372862,-0.27523363,0.00020226
2022-06-17,-0.02031331,0.88537090,-0.28995604,0.00037323
2022-06-24,0.02799251,0.91015465,-0.27008012,0.00028020
2022-06-30,0.01721741,0.92582516,-0.25751279,0.00024653
2022-07-08,0.00499854,0.93045293,-0.25380144,0.00040037
2022-07-15,-0.02798371,0.90441541,-0.27468284,0.00028133
2022-07-22,0.00522985,0.90914537,-0.27088954,0.00028934
2022-07-29,-0.00067609,0.90853070,-0.27138249,0.00024616
2022-08-05,-0.00527383,0.90373926,-0.27522509,0.00013136
2022-08-12,-0.02675066,0.87956364,-0.29461330,0.00024545
2022-08-19,-0.01315292,0.86799482,-0.30389119,0.00030381
2022-08-26,0.02116208,0.88636339,-0.28916008,0.00021216
2022-09-02,0.03715692,0.91929793,-0.26274746,0.00030293
2022-09-09,0.04072869,0.95673972,-0.23272013,0.00023701
2022-09-16,-0.02079457,0.93684473,-0.24867539,0.00017431
2022-09-23,-0.02849188,0.91015227,-0.27008203,0.00023030
2022-09-30,-0.02727527,0.88532762,-0.28999074,0.00017024
2022-10-07,0.03031058,0.91216241,-0.26846995,0.00013676
2022-10-14,-0.06966361,0.84861788,-0.31943098,0.00024153
2022-10-21,0.05996697,0.89950692,-0.27861932,0.00026769
2022-10-28,-0.05182144,0.85289318,-0.31600230,0.00010209
2022-11-04,0.05374202,0.89872938,-0.27924288,0.00015629
2022-11-11,-0.00538095,0.89389337,-0.28312124,0.00024539
2022-11-18,-0.00085676,0.89312751,-0.28373544,0.00023449
2022-11-25,-0.02593022,0.86996851,-0.30230834,0.00022920
2022-12-02,0.03134818,0.89724044,-0.28043697,0.00031872
2022-12-09,0.06466288,0.95525860,-0.23390796,0.00038277
2022-12-16,-0.03004400,0.92655881,-0.25692442,0.00026353
2022-12-23,0.00383412,0.93011135,-0.25407538,0.00031112
2022-12-30,0.01638761,0.94535365,-0.24185146,0.00032111
2023-01-06,0.04649582,0.98930865,-0.20660072,0.00045335
2023-01-13,0.09164644,1.07997527,-0.13388849,0.00031136
2023-01-20,-0.01384358,1.06502454,-0.14587858,0.00026998
2023-01-27,0.01546142,1.08149133,-0.13267265,0.00031264
2023-02-03,-0.05903179,1.01764896,-0.18387254,0.00037076
2023-02-10,-0.06119193,0.95537705,-0.23381296,0.00016924
2023-02-17,-0.01638852,0.93971983,-0.24636963,0.00024595
2023-02-24,-0.03617071,0.90572950,-0.27362897,0.00016128
2023-03-03,0.04175448,0.94354777,-0.24329973,0.00011308
2023-03-10,-0.06234939,0.88471814,-0.29047953,0.00041479
2023-03-17,0.03069968,0.91187870,-0.26869748,0.00022143
2023-03-24,-0.01387513,0.89922626,-0.27884440,0.00032176
2023-03-31,-0.01598082,0.88485589,-0.29036906,0.00038391
2023-04-06,0.02122351,0.90363563,-0.27530820,0.00049589
2023-04-14,0.03426710,0.93460061,-0.25047511,0.00040216
2023-04-21,-0.03364081,0.90315989,-0.27568974,0.00027270
2023-04-28,0.00693562,0.90942386,-0.27066619,0.00035278
2023-05-05,0.00615334,0.91501986,-0.26617836,0.00041441
2023-05-12,-0.03098384,0.88666903,-0.28891497,0.00033676
