date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2023-01-13,0.02880939,0.02910930,0.02880939,0.00029991,443,weekly_cashoff,False,risk_on,0.05526806,0.00000000,0.00000000,12,48,90
2023-01-20,0.02830694,0.02838937,0.02830694,0.00008480,443,weekly_cashoff,False,risk_on,0.01276661,0.00000000,-0.02221694,12,50,88
2023-01-27,0.01763714,0.01771937,0.01763714,0.00008698,444,weekly_cashoff,False,caution,-0.01705734,0.25000000,0.26764543,12,49,89
2023-02-03,-0.02717068,-0.02709613,-0.02717068,0.00008027,444,weekly_cashoff,False,risk_on,0.07716415,0.00000000,0.00000000,12,50,90
2023-02-10,-0.00453843,-0.00445621,-0.00453843,0.00008611,444,weekly_cashoff,False,risk_on,0.09411154,0.00000000,0.01583318,12,44,87
2023-02-17,0.00000992,0.00004438,0.00000992,0.00003593,444,weekly_cashoff,False,risk_on,0.10329230,0.00000000,0.01173122,12,41,89
2023-02-24,0.00186784,0.00186784,0.00186784,0.00000000,444,weekly_cashoff,False,risk_on,0.12461795,0.00000000,0.01173122,12,42,91
2023-03-03,0.03507474,0.03507474,0.03507474,0.00000000,445,weekly_cashoff,False,risk_on,0.19407151,0.00000000,0.01173122,12,39,91
2023-03-10,-0.01117309,-0.01116543,-0.01117309,0.00000828,445,weekly_cashoff,False,risk_on,0.20613944,0.00000000,0.00843631,12,27,86
2023-03-17,0.03142573,0.03142573,0.03142573,0.00000000,447,weekly_cashoff,False,risk_on,0.25734656,0.00000000,0.00843631,12,24,85
2023-03-24,-0.02268430,-0.02264090,-0.02268430,0.00004785,447,weekly_cashoff,False,risk_on,0.20733959,0.00000000,-0.00565548,12,36,89
2023-03-31,0.01476462,0.01476804,0.01476462,0.00000369,447,weekly_cashoff,False,risk_on,0.18548065,0.00000000,0.00663860,12,35,89
2023-04-06,0.02047084,0.02058256,0.02047084,0.00012218,448,weekly_cashoff,False,risk_on,0.16657148,0.00000000,0.00508910,12,29,90
2023-04-14,0.02038611,0.02052243,0.02038611,0.00015213,448,weekly_cashoff,False,risk_on,0.09531327,0.00000000,-0.01224388,12,51,95
2023-04-21,-0.00459795,-0.00459392,-0.00459795,0.00000459,448,weekly_cashoff,False,risk_on,0.12219484,0.00000000,0.00305021,12,48,93
2023-04-28,0.01330967,0.01337905,0.01330967,0.00007865,448,weekly_cashoff,False,risk_on,0.17135922,0.00000000,-0.01261701,12,49,94
2023-05-05,0.01022271,0.01026720,0.01022271,0.00005109,448,weekly_cashoff,False,risk_on,0.16204860,0.00000000,-0.01070967,12,36,90
2023-05-12,-0.02197163,-0.02188171,-0.02197163,0.00010434,448,weekly_cashoff,False,risk_on,0.22146731,0.00000000,-0.00684493,12,48,96
2023-05-19,0.00821909,0.00833774,0.00821909,0.00013465,449,weekly_cashoff,False,risk_on,0.25992386,0.00000000,0.03691164,12,45,92
2023-05-25,-0.03580058,-0.03575535,-0.03580058,0.00005175,449,weekly_cashoff,False,risk_on,0.18221586,0.00000000,0.02041910,12,41,93
2023-06-02,-0.00483898,-0.00477223,-0.00483898,0.00007363,449,weekly_cashoff,False,caution,0.18558619,0.25000000,0.26577207,12,41,94
2023-06-09,0.04383269,0.04390233,0.04383269,0.00007645,449,weekly_cashoff,False,risk_on,0.15422629,0.00000000,0.01087887,12,12,91
2023-06-16,-0.01814496,-0.01810954,-0.01814496,0.00004060,449,weekly_cashoff,False,risk_on,0.08280455,0.00000000,0.01067806,12,30,91
2023-06-23,-0.02478729,-0.02471053,-0.02478729,0.00008637,449,weekly_cashoff,False,risk_on,0.08509564,0.00000000,-0.02404892,12,24,93
