date,ts_code,name,weight
2020-12-04,CASH,现金,1.00000000
2020-12-18,CASH,现金,1.00000000
2020-12-31,CASH,现金,1.00000000
2021-01-15,02318.HK,中国平安,0.15092685
2021-01-15,01398.HK,工商银行,0.14054084
2021-01-15,01299.HK,友邦保险,0.10451115
2021-01-15,00388.HK,香港交易所,0.09223439
2021-01-15,06030.HK,中信证券,0.07000225
2021-01-15,00066.HK,港铁公司,0.06207794
2021-01-15,02007.HK,碧桂园,0.06167467
2021-01-15,00002.HK,中电控股,0.05917299
2021-01-15,01339.HK,中国人民保险集团,0.05370671
2021-01-15,00027.HK,银河娱乐,0.04238827
2021-01-15,00006.HK,电能实业,0.04216118
2021-01-15,00288.HK,万洲国际,0.04170414
2021-01-15,01928.HK,金沙中国有限公司,0.04021678
2021-01-15,00586.HK,海螺创业,0.03868186
2021-01-29,01398.HK,工商银行,0.10661630
2021-01-29,00939.HK,建设银行,0.10589351
2021-01-29,02318.HK,中国平安,0.10018778
2021-01-29,01288.HK,农业银行,0.08246454
2021-01-29,00388.HK,香港交易所,0.07674710
2021-01-29,01299.HK,友邦保险,0.07406493
2021-01-29,02628.HK,中国人寿,0.07385856
2021-01-29,03968.HK,招商银行,0.07284331
2021-01-29,00016.HK,新鸿基地产,0.06051910
2021-01-29,01339.HK,中国人民保险集团,0.05425775
2021-01-29,00005.HK,汇丰控股,0.05404161
2021-01-29,00941.HK,中国移动,0.05073076
2021-01-29,03328.HK,交通银行,0.04840769
2021-01-29,00857.HK,中国石油股份,0.04480612
2021-02-11,00939.HK,建设银行,0.10873418
2021-02-11,01398.HK,工商银行,0.10438700
2021-02-11,02318.HK,中国平安,0.09544160
2021-02-11,01288.HK,农业银行,0.08144352
2021-02-11,01299.HK,友邦保险,0.07919527
2021-02-11,03968.HK,招商银行,0.07671182
2021-02-11,02628.HK,中国人寿,0.07127116
2021-02-11,00016.HK,新鸿基地产,0.06016440
2021-02-11,00388.HK,香港交易所,0.05982851
2021-02-11,00857.HK,中国石油股份,0.05589939
2021-02-11,00005.HK,汇丰控股,0.05432778
2021-02-11,00066.HK,港铁公司,0.04950482
2021-02-11,00941.HK,中国移动,0.04928276
2021-02-11,00002.HK,中电控股,0.04927052
2021-02-11,CASH,现金,0.00453727
2021-02-26,00700.HK,腾讯控股,0.15589730
2021-02-26,00939.HK,建设银行,0.09010589
2021-02-26,01398.HK,工商银行,0.08483611
2021-02-26,02318.HK,中国平安,0.08203448
2021-02-26,03988.HK,中国银行,0.07009543
2021-02-26,00016.HK,新鸿基地产,0.06870946
2021-02-26,01288.HK,农业银行,0.06850138
2021-02-26,00005.HK,汇丰控股,0.06029338
2021-02-26,02628.HK,中国人寿,0.05968235
2021-02-26,03968.HK,招商银行,0.05947510
2021-02-26,01299.HK,友邦保险,0.05941736
2021-02-26,00941.HK,中国移动,0.05562281
2021-02-26,00857.HK,中国石油股份,0.05116025
2021-02-26,00388.HK,香港交易所,0.04089754
2021-03-12,00700.HK,腾讯控股,0.15012040
2021-03-12,00939.HK,建设银行,0.09068294
2021-03-12,01398.HK,工商银行,0.09005904
2021-03-12,02318.HK,中国平安,0.08197297
