date,portfolio_return,nav,drawdown,trading_cost
2020-12-21,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-31,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-15,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-29,0.00000000,1.00000000,0.00000000,0.00000000
2021-02-11,0.09696964,1.09696964,0.00000000,0.00029991
2021-02-26,-0.17526005,0.90471468,-0.17526005,0.00056673
2021-03-12,0.04943874,0.94944264,-0.13448595,0.00057555
2021-03-26,-0.00982280,0.94011645,-0.14298772,0.00058334
2021-04-09,-0.01338739,0.92753075,-0.15446088,0.00057650
2021-04-23,0.02879870,0.95424243,-0.13011045,0.00055412
2021-05-07,0.04986082,1.00182174,-0.08673705,0.00048344
2021-05-21,-0.05107996,0.95064873,-0.13338648,0.00050672
2021-06-04,0.04177873,0.99036563,-0.09718046,0.00055938
2021-06-18,0.03735725,1.02736296,-0.06345361,0.00059745
2021-07-02,0.03368300,1.06196763,-0.03190792,0.00051832
2021-07-16,0.01049729,1.07311541,-0.02174557,0.00044042
2021-07-30,-0.06209086,1.00648475,-0.08248623,0.00063898
2021-08-13,-0.03266645,0.97360647,-0.11245815,0.00048605
2021-08-27,0.03578996,1.00845180,-0.08069306,0.00048500
2021-09-10,0.10208154,1.11139612,0.00000000,0.00053034
2021-09-24,-0.08656423,1.01518897,-0.08656423,0.00055567
2021-10-08,-0.12766034,0.88558960,-0.20317375,0.00048900
2021-10-22,-0.01182270,0.87511953,-0.21259439,0.00036126
2021-11-05,-0.03053457,0.84839813,-0.23663749,0.00046275
2021-11-19,-0.00777777,0.84179949,-0.24257474,0.00042877
2021-12-03,0.03970738,0.87522514,-0.21249937,0.00052171
2021-12-17,0.09010323,0.95408575,-0.14154302,0.00050933
2021-12-31,0.01110268,0.96467866,-0.13201185,0.00055889
2022-01-14,0.03369470,0.99718321,-0.10276526,0.00045688
2022-01-28,-0.01259684,0.98462186,-0.11406757,0.00041101
2022-02-11,0.05458218,1.03836467,-0.06571145,0.00024347
2022-02-25,-0.05044078,0.98598875,-0.11283769,0.00052912
2022-03-11,-0.02191966,0.96437621,-0.13228399,0.00035913
2022-03-25,0.00561596,0.96979210,-0.12741093,0.00027651
2022-04-08,-0.01347686,0.95672235,-0.13917069,0.00048567
