date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type,trade_details_json
2023-01-09,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance,"[{""ts_code"": ""00005.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.09449505425760951, ""post_trade_weight"": 0.0945234027738868, ""diff_weight"": 0.09449505425760951, ""gross_amount"": 0.09449505425760951, ""gross_amount_pct_nav"": 0.09449505425760951, ""fee"": 2.834851627728285e-05, ""fee_pct_nav"": 2.834851627728285e-05, ""name"": ""汇丰控股""}, {""ts_code"": ""00016.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.060290817068383136, ""post_trade_weight"": 0.06030890431350365, ""diff_weight"": 0.060290817068383136, ""gross_amount"": 0.060290817068383136, ""gross_amount_pct_nav"": 0.060290817068383136, ""fee"": 1.8087245120514938e-05, ""fee_pct_nav"": 1.8087245120514938e-05, ""name"": ""新鸿基地产""}, {""ts_code"": ""00386.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.0711770760666786, ""post_trade_weight"": 0.0711984291894986, ""diff_weight"": 0.0711770760666786, ""gross_amount"": 0.0711770760666786, ""gross_amount_pct_nav"": 0.0711770760666786, ""fee"": 2.1353122820003578e-05, ""fee_pct_nav"": 2.1353122820003578e-05, ""name"": ""中国石油化工股份""}, {""ts_code"": ""00728.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.06655754636346768, ""post_trade_weight"": 0.06657751362737672, ""diff_weight"": 0.06655754636346768, ""gross_amount"": 0.06655754636346768, ""gross_amount_pct_nav"": 0.06655754636346768, ""fee"": 1.9967263909040302e-05, ""fee_pct_nav"": 1.9967263909040302e-05, ""name"": ""中国电信""}, {""ts_code"": ""00857.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.08244698487267793, ""post_trade_weight"": 0.08247171896813973, ""diff_weight"": 0.08244698487267793, ""gross_amount"": 0.08244698487267793, ""gross_amount_pct_nav"": 0.08244698487267793, ""fee"": 2.4734095461803376e-05, ""fee_pct_nav"": 2.4734095461803376e-05, ""name"": ""中国石油股份""}, {""ts_code"": ""00939.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.08355675219485915, ""post_trade_weight"": 0.08358181922051762, ""diff_weight"": 0.08355675219485915, ""gross_amount"": 0.08355675219485915, ""gross_amount_pct_nav"": 0.08355675219485915, ""fee"": 2.5067025658457745e-05, ""fee_pct_nav"": 2.5067025658457745e-05, ""name"": ""建设银行""}, {""ts_code"": ""00941.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.10495248100124926, ""post_trade_weight"": 0.10498396674554965, ""diff_weight"": 0.10495248100124926, ""gross_amount"": 0.10495248100124926, ""gross_amount_pct_nav"": 0.10495248100124926, ""fee"": 3.148574430037478e-05, ""fee_pct_nav"": 3.148574430037478e-05, ""name"": ""中国移动""}, {""ts_code"": ""01288.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.09561788064927326, ""post_trade_weight"": 0.09564656601346805, ""diff_weight"": 0.09561788064927326, ""gross_amount"": 0.09561788064927326, ""gross_amount_pct_nav"": 0.09561788064927326, ""fee"": 2.8685364194781975e-05, ""fee_pct_nav"": 2.8685364194781975e-05, ""name"": ""农业银行""}, {""ts_code"": ""01299.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.0697825715832626, ""post_trade_weight"": 0.06980350635473759, ""diff_weight"": 0.0697825715832626, ""gross_amount"": 0.0697825715832626, ""gross_amount_pct_nav"": 0.0697825715832626, ""fee"": 2.093477147497878e-05, ""fee_pct_nav"": 2.093477147497878e-05, ""name"": ""友邦保险""}, {""ts_code"": ""01398.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.10624986873220969, ""post_trade_weight"": 0.10628174369282936, ""diff_weight"": 0.10624986873220969, ""gross_amount"": 0.10624986873220969, ""gross_amount_pct_nav"": 0.10624986873220969, ""fee"": 3.18749606196629e-05, ""fee_pct_nav"": 3.18749606196629e-05, ""name"": ""工商银行""}, {""ts_code"": ""02628.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.07295179826571982, ""post_trade_weight"": 0.07297368380519954, ""diff_weight"": 0.07295179826571982, ""gross_amount"": 0.07295179826571982, ""gross_amount_pct_nav"": 0.07295179826571982, ""fee"": 2.1885539479715943e-05, ""fee_pct_nav"": 2.1885539479715943e-05, ""name"": ""中国人寿""}, {""ts_code"": ""03988.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.09162125891760924, ""post_trade_weight"": 0.09164874529528452, ""diff_weight"": 0.09162125891760924, ""gross_amount"": 0.09162125891760924, ""gross_amount_pct_nav"": 0.09162125891760924, ""fee"": 2.748637767528277e-05, ""fee_pct_nav"": 2.748637767528277e-05, ""name"": ""中国银行""}]"
2023-01-16,0.13644586,0.27289172,0.15239870,0.13026656,0.00008480,0.00004572,0.00003908,0.00000000,rebalance,"[{""ts_code"": ""00016.HK"", ""side"": ""sell"", ""current_weight"": 0.0578866155572246, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.0578866155572246, ""gross_amount"": 0.05995980866094888, ""gross_amount_pct_nav"": 0.0578866155572246, ""fee"": 1.7987942598284662e-05, ""fee_pct_nav"": 1.7365984667167377e-05, ""name"": ""新鸿基地产""}, {""ts_code"": ""00883.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.07577288117231647, ""post_trade_weight"": 0.07577908501772711, ""diff_weight"": 0.07577288117231647, ""gross_amount"": 0.07848666592520931, ""gross_amount_pct_nav"": 0.07577288117231647, ""fee"": 2.354599977756279e-05, ""fee_pct_nav"": 2.2731864351694937e-05, ""name"": ""中国海洋石油""}, {""ts_code"": ""01088.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.07135642215804715, ""post_trade_weight"": 0.07136226440932857, ""diff_weight"": 0.07135642215804715, ""gross_amount"": 0.07391203265454022, ""gross_amount_pct_nav"": 0.07135642215804715, ""fee"": 2.2173609796362063e-05, ""fee_pct_nav"": 2.1406926647414144e-05, ""name"": ""中国神华""}, {""ts_code"": ""01299.HK"", ""side"": ""sell"", ""current_weight"": 0.06787579915427494, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.06787579915427494, ""gross_amount"": 0.0703067521018921, ""gross_amount_pct_nav"": 0.06787579915427494, ""fee"": 2.109202563056763e-05, ""fee_pct_nav"": 2.036273974628248e-05, ""name"": ""友邦保险""}]"
2023-01-26,0.09556950,0.19113900,0.00000000,0.20464655,0.00006139,0.00000000,0.00006139,0.00000000,rebalance,"[{""ts_code"": ""00005.HK"", ""side"": ""sell"", ""current_weight"": 0.09587434318400746, ""target_weight"": 0.07978611665141697, ""post_trade_weight"": 0.0797906919853923, ""diff_weight"": -0.016088226532590497, ""gross_amount"": 0.01722516049167247, ""gross_amount_pct_nav"": 0.016088226532590497, ""fee"": 5.16754814750174e-06, ""fee_pct_nav"": 4.826467959777148e-06, ""name"": ""汇丰控股""}, {""ts_code"": ""00386.HK"", ""side"": ""sell"", ""current_weight"": 0.07330245247011494, ""target_weight"": 0.060540663065329944, ""post_trade_weight"": 0.060544134768982634, ""diff_weight"": -0.012761789404784986, ""gross_amount"": 0.013663648396113864, ""gross_amount_pct_nav"": 0.012761789404784986, ""fee"": 4.099094518834159e-06, ""fee_pct_nav"": 3.8285368214354955e-06, ""name"": ""中国石油化工股份""}, {""ts_code"": ""00728.HK"", ""side"": ""sell"", ""current_weight"": 0.07050868828217893, ""target_weight"": 0.05746828678549497, ""post_trade_weight"": 0.05747158230376393, ""diff_weight"": -0.013040401496683961, ""gross_amount"": 0.013961949640701556, ""gross_amount_pct_nav"": 0.013040401496683961, ""fee"": 4.188584892210466e-06, ""fee_pct_nav"": 3.912120449005188e-06, ""name"": ""中国电信""}, {""ts_code"": ""00857.HK"", ""side"": ""sell"", ""current_weight"": 0.08923959304363238, ""target_weight"": 0.0709030016164632, ""post_trade_weight"": 0.07090706754830528, ""diff_weight"": -0.018336591427169188, ""gross_amount"": 0.019632414397160847, ""gross_amount_pct_nav"": 0.018336591427169188, ""fee"": 5.889724319148253e-06, ""fee_pct_nav"": 5.500977428150756e-06, ""name"": ""中国石油股份""}, {""ts_code"": ""00883.HK"", ""side"": ""sell"", ""current_weight"": 0.0801961944151045, ""target_weight"": 0.06344763499787999, ""post_trade_weight"": 0.06345127340180594, ""diff_weight"": -0.01674855941722452, ""gross_amount"": 0.01793215823892004, ""gross_amount_pct_nav"": 0.01674855941722452, ""fee"": 5.379647471676012e-06, ""fee_pct_nav"": 5.024567825167356e-06, ""name"": ""中国海洋石油""}, {""ts_code"": ""00939.HK"", ""side"": ""sell"", ""current_weight"": 0.08153880009903605, ""target_weight"": 0.06339840683204544, ""post_trade_weight"": 0.06340204241298276, ""diff_weight"": -0.018140393266990608, ""gross_amount"": 0.01942235116922203, ""gross_amount_pct_nav"": 0.018140393266990608, ""fee"": 5.826705350766609e-06, ""fee_pct_nav"": 5.442117980097182e-06, ""name"": ""建设银行""}, {""ts_code"": ""00941.HK"", ""side"": ""sell"", ""current_weight"": 0.10419515802288344, ""target_weight"": 0.08809344073245604, ""post_trade_weight"": 0.08809849244983876, ""diff_weight"": -0.0161017172904274, ""gross_amount"": 0.017239604623747823, ""gross_amount_pct_nav"": 0.0161017172904274, ""fee"": 5.171881387124346e-06, ""fee_pct_nav"": 4.8305151871282195e-06, ""name"": ""中国移动""}, {""ts_code"": ""01088.HK"", ""side"": ""sell"", ""current_weight"": 0.06903352368794173, ""target_weight"": 0.057517840499362594, ""post_trade_weight"": 0.05752113885928873, ""diff_weight"": -0.01151568318857913, ""gross_amount"": 0.012329481480926822, ""gross_amount_pct_nav"": 0.01151568318857913, ""fee"": 3.6988444442780465e-06, ""fee_pct_nav"": 3.454704956573739e-06, ""name"": ""中国神华""}, {""ts_code"": ""01288.HK"", ""side"": ""sell"", ""current_weight"": 0.09272694960169457, ""target_weight"": 0.07159959640209962, ""post_trade_weight"": 0.07160370228016197, ""diff_weight"": -0.021127353199594953, ""gross_amount"": 0.02262039565952549, ""gross_amount_pct_nav"": 0.021127353199594953, ""fee"": 6.786118697857647e-06, ""fee_pct_nav"": 6.338205959878486e-06, ""name"": ""农业银行""}, {""ts_code"": ""01398.HK"", ""side"": ""sell"", ""current_weight"": 0.10261041804486365, ""target_weight"": 0.07434878253639017, ""post_trade_weight"": 0.07435304606650092, ""diff_weight"": -0.028261635508473486, ""gross_amount"": 0.030258848382353043, ""gross_amount_pct_nav"": 0.028261635508473486, ""fee"": 9.077654514705912e-06, ""fee_pct_nav"": 8.478490652542044e-06, ""name"": ""工商银行""}, {""ts_code"": ""03988.HK"", ""side"": ""sell"", ""current_weight"": 0.08899682021281913, ""target_weight"": 0.06998016874266434, ""post_trade_weight"": 0.0699841817546655, ""diff_weight"": -0.019016651470154786, ""gross_amount"": 0.02036053339527856, ""gross_amount_pct_nav"": 0.019016651470154786, ""fee"": 6.108160018583567e-06, ""fee_pct_nav"": 5.7049954410464355e-06, ""name"": ""中国银行""}]"
2023-01-30,0.07679171,0.15358341,0.16362611,0.00000000,0.00004909,0.00004909,0.00000000,0.00000000,rebalance,"[{""ts_code"": ""00005.HK"", ""side"": ""buy"", ""current_weight"": 0.08011747538937869, ""target_weight"": 0.09894547940029169, ""post_trade_weight"": 0.09895003852560859, ""diff_weight"": 0.018828004010913005, ""gross_amount"": 0.02005915239354439, ""gross_amount_pct_nav"": 0.018828004010913005, ""fee"": 6.017745718063316e-06, ""fee_pct_nav"": 5.648401203273901e-06, ""name"": ""汇丰控股""}, {""ts_code"": ""00386.HK"", ""side"": ""buy"", ""current_weight"": 0.06132610000240838, ""target_weight"": 0.07445188635210992, ""post_trade_weight"": 0.07445531688255978, ""diff_weight"": 0.013125786349701535, ""gross_amount"": 0.013984071201661077, ""gross_amount_pct_nav"": 0.013125786349701535, ""fee"": 4.195221360498323e-06, ""fee_pct_nav"": 3.937735904910461e-06, ""name"": ""中国石油化工股份""}, {""ts_code"": ""00857.HK"", ""side"": ""buy"", ""current_weight"": 0.07144590167790642, ""target_weight"": 0.08663105965598342, ""post_trade_weight"": 0.0866350513679818, ""diff_weight"": 0.015185157978077008, ""gross_amount"": 0.01617810352205902, ""gross_amount_pct_nav"": 0.015185157978077008, ""fee"": 4.8534310566177055e-06, ""fee_pct_nav"": 4.5555473934231016e-06, ""name"": ""中国石油股份""}, {""ts_code"": ""00883.HK"", ""side"": ""buy"", ""current_weight"": 0.0631887612779284, ""target_weight"": 0.0776799366136824, ""post_trade_weight"": 0.077683515883476, ""diff_weight"": 0.014491175335754001, ""gross_amount"": 0.015438741900255501, ""gross_amount_pct_nav"": 0.014491175335754001, ""fee"": 4.63162257007665e-06, ""fee_pct_nav"": 4.3473526007261996e-06, ""name"": ""中国海洋石油""}, {""ts_code"": ""00939.HK"", ""side"": ""buy"", ""current_weight"": 0.06270582933075394, ""target_weight"": 0.08026287123533986, ""post_trade_weight"": 0.08026656951938957, ""diff_weight"": 0.017557041904585922, ""gross_amount"": 0.01870508307411689, ""gross_amount_pct_nav"": 0.017557041904585922, ""fee"": 5.611524922235067e-06, ""fee_pct_nav"": 5.267112571375776e-06, ""name"": ""建设银行""}, {""ts_code"": ""00941.HK"", ""side"": ""buy"", ""current_weight"": 0.0884605478560734, ""target_weight"": 0.10736078840117376, ""post_trade_weight"": 0.10736573527991354, ""diff_weight"": 0.018900240545100366, ""gross_amount"": 0.020136112417921154, ""gross_amount_pct_nav"": 0.018900240545100366, ""fee"": 6.040833725376345e-06, ""fee_pct_nav"": 5.670072163530109e-06, ""name"": ""中国移动""}, {""ts_code"": ""01288.HK"", ""side"": ""buy"", ""current_weight"": 0.07136461422973171, ""target_weight"": 0.08680282783518829, ""post_trade_weight"": 0.08680682746177416, ""diff_weight"": 0.015438213605456575, ""gross_amount"": 0.016447706258000044, ""gross_amount_pct_nav"": 0.015438213605456575, ""fee"": 4.934311877400013e-06, ""fee_pct_nav"": 4.631464081636972e-06, ""name"": ""农业银行""}, {""ts_code"": ""01398.HK"", ""side"": ""buy"", ""current_weight"": 0.0734889858357921, ""target_weight"": 0.09774628284867055, ""post_trade_weight"": 0.09775078671843267, ""diff_weight"": 0.02425729701287845, ""gross_amount"": 0.025843462597244404, ""gross_amount_pct_nav"": 0.02425729701287845, ""fee"": 7.75303877917332e-06, ""fee_pct_nav"": 7.277189103863534e-06, ""name"": ""工商银行""}, {""ts_code"": ""03988.HK"", ""side"": ""buy"", ""current_weight"": 0.06978597522992243, ""target_weight"": 0.08558646902566883, ""post_trade_weight"": 0.08559041260591205, ""diff_weight"": 0.015800493795746395, ""gross_amount"": 0.016833675665164693, ""gross_amount_pct_nav"": 0.015800493795746395, ""fee"": 5.0501026995494075e-06, ""fee_pct_nav"": 4.740148138723917e-06, ""name"": ""中国银行""}]"
2023-02-06,0.15414891,0.30829782,0.16929073,0.15104112,0.00009610,0.00005079,0.00004531,0.00000000,rebalance,"[{""ts_code"": ""00016.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.06297835305526212, ""post_trade_weight"": 0.06298417842071105, ""diff_weight"": 0.06297835305526212, ""gross_amount"": 0.0654366347230639, ""gross_amount_pct_nav"": 0.06297835305526212, ""fee"": 1.9630990416919166e-05, ""fee_pct_nav"": 1.889350591657863e-05, ""name"": ""新鸿基地产""}, {""ts_code"": ""00728.HK"", ""side"": ""buy"", ""current_weight"": 0.06359802400365175, ""target_weight"": 0.08102394135071088, ""post_trade_weight"": 0.08103143589519456, ""diff_weight"": 0.017425917347059134, ""gross_amount"": 0.018106116353236945, ""gross_amount_pct_nav"": 0.017425917347059134, ""fee"": 5.431834905971083e-06, ""fee_pct_nav"": 5.22777520411774e-06, ""name"": ""中国电信""}, {""ts_code"": ""00939.HK"", ""side"": ""sell"", ""current_weight"": 0.07946738768324119, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.07946738768324119, ""gross_amount"": 0.08256929830574335, ""gross_amount_pct_nav"": 0.07946738768324119, ""fee"": 2.4770789491723002e-05, ""fee_pct_nav"": 2.3840216304972352e-05, ""name"": ""建设银行""}, {""ts_code"": ""00941.HK"", ""side"": ""buy"", ""current_weight"": 0.11027845111557388, ""target_weight"": 0.12081840508692657, ""post_trade_weight"": 0.12082958053576645, ""diff_weight"": 0.010539953971352682, ""gross_amount"": 0.010951367963149439, ""gross_amount_pct_nav"": 0.010539953971352682, ""fee"": 3.2854103889448313e-06, ""fee_pct_nav"": 3.161986191405804e-06, ""name"": ""中国移动""}, {""ts_code"": ""01088.HK"", ""side"": ""buy"", ""current_weight"": 0.057134004758452275, ""target_weight"": 0.07228769891315293, ""post_trade_weight"": 0.07229438537355087, ""diff_weight"": 0.015153694154700645, ""gross_amount"": 0.015745199755161296, ""gross_amount_pct_nav"": 0.015153694154700645, ""fee"": 4.723559926548388e-06, ""fee_pct_nav"": 4.5461082464101935e-06, ""name"": ""中国神华""}, {""ts_code"": ""02628.HK"", ""side"": ""sell"", ""current_weight"": 0.06589951127442586, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.06589951127442586, ""gross_amount"": 0.068471816719455, ""gross_amount_pct_nav"": 0.06589951127442586, ""fee"": 2.0541545015836497e-05, ""fee_pct_nav"": 1.9769853382327755e-05, ""name"": ""中国人寿""}, {""ts_code"": ""02899.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.056833001374256155, ""post_trade_weight"": 0.056838258307575364, ""diff_weight"": 0.056833001374256155, ""gross_amount"": 0.05905140688387457, ""gross_amount_pct_nav"": 0.056833001374256155, ""fee"": 1.771542206516237e-05, ""fee_pct_nav"": 1.7049900412276845e-05, ""name"": ""紫金矿业""}]"
2023-02-13,0.05751464,0.11502928,0.06184235,0.05780243,0.00003589,0.00001855,0.00001734,0.00000000,rebalance,"[{""ts_code"": ""02628.HK"", ""side"": ""buy"", ""current_weight"": 0.0, ""target_weight"": 0.059456674639810844, ""post_trade_weight"": 0.059458726488186536, ""diff_weight"": 0.059456674639810844, ""gross_amount"": 0.06184234906712675, ""gross_amount_pct_nav"": 0.059456674639810844, ""fee"": 1.8552704720138024e-05, ""fee_pct_nav"": 1.783700239194325e-05, ""name"": ""中国人寿""}, {""ts_code"": ""02899.HK"", ""side"": ""sell"", ""current_weight"": 0.05557260684039073, ""target_weight"": 0.0, ""post_trade_weight"": 0.0, ""diff_weight"": -0.05557260684039073, ""gross_amount"": 0.05780243465705827, ""gross_amount_pct_nav"": 0.05557260684039073, ""fee"": 1.734073039711748e-05, ""fee_pct_nav"": 1.6671782052117218e-05, ""name"": ""紫金矿业""}]"
2023-02-20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance,
2023-02-27,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance,
2023-03-06,0.01255743,0.02511486,0.01551926,0.01203368,0.00000827,0.00000466,0.00000361,0.00000000,rebalance,"[{""ts_code"": ""00941.HK"", ""side"": ""sell"", ""current_weight"": 0.12937670207224478, ""target_weight"": 0.11840784567477904, ""post_trade_weight"": 0.11840873782041257, ""diff_weight"": -0.010968856397465745, ""gross_amount"": 0.012033684082172508, ""gross_amount_pct_nav"": 0.010968856397465745, ""fee"": 3.610105224651752e-06, ""fee_pct_nav"": 3.290656919239723e-06, ""name"": ""中国移动""}, {""ts_code"": ""02628.HK"", ""side"": ""buy"", ""current_weight"": 0.05677082452188153, ""target_weight"": 0.07091682732444565, ""post_trade_weight"": 0.07091736164831144, ""diff_weight"": 0.01414600280256412, ""gross_amount"": 0.015519259490981513, ""gross_amount_pct_nav"": 0.01414600280256412, ""fee"": 4.655777847294453e-06, ""fee_pct_nav"": 4.243800840769236e-06, ""name"": ""中国人寿""}]"
2023-03-13,0.00516266,0.01032531,0.00000000,0.01141153,0.00000342,0.00000000,0.00000342,0.00000000,rebalance,"[{""ts_code"": ""00728.HK"", ""side"": ""sell"", ""current_weight"": 0.08645558908645119, ""target_weight"": 0.07613027758889898, ""post_trade_weight"": 0.0761305134102786, ""diff_weight"": -0.01032531149755221, ""gross_amount"": 0.011411525407909198, ""gross_amount_pct_nav"": 0.01032531149755221, ""fee"": 3.423457622372759e-06, ""fee_pct_nav"": 3.0975934492656626e-06, ""name"": ""中国电信""}]"
