date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2023-01-09,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2023-01-16,0.80570529,1.61141058,0.84845854,0.84896776,0.00050923,0.00025454,0.00025469,0.00000000,rebalance
2023-01-26,0.56789534,1.13579068,0.53987598,0.63645949,0.00035290,0.00016196,0.00019094,0.00000000,rebalance
2023-01-30,0.21326265,0.42652531,0.26342880,0.16440762,0.00012835,0.00007903,0.00004932,0.00000000,rebalance
2023-02-06,1.00124508,2.00249015,0.94379036,0.94727660,0.00056732,0.00028314,0.00028418,0.00000000,rebalance
2023-02-13,0.79537501,1.59075002,0.73742921,0.73787180,0.00044259,0.00022123,0.00022136,0.00000000,rebalance
2023-02-20,0.78073263,1.56146526,0.72830567,0.72874278,0.00043711,0.00021849,0.00021862,0.00000000,rebalance
2023-02-27,0.37256066,0.74512132,0.17163884,0.49277147,0.00019932,0.00005149,0.00014783,0.00000000,rebalance
2023-03-06,0.61242537,1.22485074,0.74444182,0.42385901,0.00035049,0.00022333,0.00012716,0.00000000,rebalance
2023-03-13,0.11681938,0.23363876,0.10652275,0.11232468,0.00006565,0.00003196,0.00003370,0.00000000,rebalance
2023-03-20,0.99645112,1.99290223,0.88199100,0.87678235,0.00052763,0.00026460,0.00026303,0.00000000,rebalance
2023-03-27,0.99970009,1.99940018,0.84579107,0.84629870,0.00050763,0.00025374,0.00025389,0.00000000,rebalance
2023-04-03,0.99970009,1.99940018,0.87068681,0.87120938,0.00052257,0.00026121,0.00026136,0.00000000,rebalance
2023-04-11,0.58327895,1.16655790,0.52826168,0.52359892,0.00031556,0.00015848,0.00015708,0.00000000,rebalance
2023-04-17,0.37925846,0.75851692,0.34010908,0.35025883,0.00020711,0.00010203,0.00010508,0.00000000,rebalance
2023-04-24,0.81861882,1.63723764,0.73370095,0.72917550,0.00043886,0.00022011,0.00021875,0.00000000,rebalance
2023-05-02,0.82732038,1.65464077,0.76774911,0.76820989,0.00046079,0.00023032,0.00023046,0.00000000,rebalance
2023-05-08,0.77525552,1.55051104,0.74221947,0.74403869,0.00044588,0.00022267,0.00022321,0.00000000,rebalance
2023-05-15,0.31185583,0.62371166,0.28843653,0.28723588,0.00017270,0.00008653,0.00008617,0.00000000,rebalance
2023-05-22,0.03705263,0.07410526,0.03179288,0.03706422,0.00002066,0.00000954,0.00001112,0.00000000,rebalance
2023-05-29,0.25744353,0.51488707,0.19145107,0.27221066,0.00013910,0.00005744,0.00008166,0.00000000,rebalance
2023-06-05,0.77156914,1.54313828,0.73149830,0.64604040,0.00041326,0.00021945,0.00019381,0.00000000,rebalance
2023-06-12,0.80253432,1.60506864,0.72822481,0.72866188,0.00043707,0.00021847,0.00021860,0.00000000,rebalance
2023-06-19,0.77621950,1.55243901,0.70128415,0.70170505,0.00042090,0.00021039,0.00021051,0.00000000,rebalance
2023-06-26,0.45841480,0.91682960,0.36317789,0.45234882,0.00024466,0.00010895,0.00013570,0.00000000,rebalance
2023-07-03,0.73692102,1.47384204,0.69183956,0.69755894,0.00041682,0.00020755,0.00020927,0.00000000,rebalance
2023-07-10,0.94816569,1.89633138,0.91343828,0.81972939,0.00051995,0.00027403,0.00024592,0.00000000,rebalance
2023-07-17,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2023-07-24,0.62240096,1.24480193,0.57099468,0.57133738,0.00034270,0.00017130,0.00017140,0.00000000,rebalance
2023-07-31,0.99970009,1.99940018,0.93360112,0.93416145,0.00056033,0.00028008,0.00028025,0.00000000,rebalance
2023-08-07,0.39326668,0.78653336,0.36592052,0.36483106,0.00021923,0.00010978,0.00010945,0.00000000,rebalance
2023-08-14,1.00045534,2.00091067,0.86561733,0.86744594,0.00051992,0.00025969,0.00026023,0.00000000,rebalance
2023-08-21,0.45289712,0.90579423,0.33686827,0.42070968,0.00022727,0.00010106,0.00012621,0.00000000,rebalance
2023-08-28,0.71099779,1.42199559,0.59484323,0.59524159,0.00035703,0.00017845,0.00017857,0.00000000,rebalance
2023-09-18,0.71933814,1.43867628,0.61836576,0.61611862,0.00037035,0.00018551,0.00018484,0.00000000,rebalance
2023-09-25,0.37877741,0.75755481,0.32217402,0.32700535,0.00019475,0.00009665,0.00009810,0.00000000,rebalance
2023-10-03,0.72384964,1.44769929,0.60900728,0.60770582,0.00036501,0.00018270,0.00018231,0.00000000,rebalance
2023-10-09,0.54332586,1.08665171,0.45681399,0.45716205,0.00027419,0.00013704,0.00013715,0.00000000,rebalance
2023-10-16,0.71038338,1.42076676,0.60030067,0.60110334,0.00036042,0.00018009,0.00018033,0.00000000,rebalance
2023-10-24,0.76616795,1.53233590,0.63895115,0.63811273,0.00038312,0.00019169,0.00019143,0.00000000,rebalance
2023-10-30,0.53940433,1.07880865,0.46691069,0.47078031,0.00028131,0.00014007,0.00014123,0.00000000,rebalance
2023-11-06,0.33148927,0.66297854,0.29206407,0.29330107,0.00017561,0.00008762,0.00008799,0.00000000,rebalance
2023-11-13,0.58605516,1.17211032,0.50972364,0.50895620,0.00030560,0.00015292,0.00015269,0.00000000,rebalance
2023-11-20,0.52358040,1.04716079,0.47423994,0.47565273,0.00028497,0.00014227,0.00014270,0.00000000,rebalance
2023-11-27,0.73048336,1.46096673,0.70262989,0.61501803,0.00039529,0.00021079,0.00018451,0.00000000,rebalance
2023-12-04,0.58640161,1.17280323,0.47263656,0.57041724,0.00031292,0.00014179,0.00017113,0.00000000,rebalance
2023-12-11,0.76826643,1.53653286,0.55956736,0.76380210,0.00039701,0.00016787,0.00022914,0.00000000,rebalance
2023-12-18,0.50543297,1.01086594,0.55520638,0.34299837,0.00026946,0.00016656,0.00010290,0.00000000,rebalance
2023-12-27,0.52939873,1.05879746,0.46100721,0.45902624,0.00027601,0.00013830,0.00013771,0.00000000,rebalance
2024-01-02,0.55776904,1.11553809,0.48522767,0.49169659,0.00029308,0.00014557,0.00014751,0.00000000,rebalance
2024-01-08,0.76974822,1.53949643,0.54678588,0.74885083,0.00038869,0.00016404,0.00022466,0.00000000,rebalance
2024-01-15,0.52581373,1.05162746,0.44410379,0.44614438,0.00026707,0.00013323,0.00013384,0.00000000,rebalance
2024-01-22,0.07158296,0.14316593,0.06836672,0.04591533,0.00003428,0.00002051,0.00001377,0.00000000,rebalance
2024-01-29,0.66151863,1.32303727,0.54434941,0.56408216,0.00033253,0.00016330,0.00016922,0.00000000,rebalance
2024-02-05,0.38343707,0.76687415,0.31960101,0.31728984,0.00019107,0.00009588,0.00009519,0.00000000,rebalance
2024-02-14,0.53231418,1.06462836,0.43781242,0.43397704,0.00026154,0.00013134,0.00013019,0.00000000,rebalance
2024-02-19,0.26415877,0.52831755,0.22240139,0.22175845,0.00013325,0.00006672,0.00006653,0.00000000,rebalance
2024-02-26,0.39483597,0.78967195,0.32998339,0.34238881,0.00020171,0.00009900,0.00010272,0.00000000,rebalance
2024-03-04,0.51884151,1.03768301,0.43710518,0.44201434,0.00026374,0.00013113,0.00013260,0.00000000,rebalance
2024-03-11,0.64886090,1.29772180,0.55849327,0.55697006,0.00033464,0.00016755,0.00016709,0.00000000,rebalance
2024-03-18,0.64400218,1.28800435,0.65956316,0.44488284,0.00033133,0.00019787,0.00013346,0.00000000,rebalance
2024-03-25,0.90022164,1.80044328,0.77825581,0.77948051,0.00046732,0.00023348,0.00023384,0.00000000,rebalance
2024-04-02,0.54416079,1.08832158,0.49244819,0.50303150,0.00029864,0.00014773,0.00015091,0.00000000,rebalance
2024-04-08,0.89739593,1.79479185,0.83109186,0.82717534,0.00049748,0.00024933,0.00024815,0.00000000,rebalance
2024-04-15,0.52231416,1.04462831,0.49171869,0.49699682,0.00029661,0.00014752,0.00014910,0.00000000,rebalance
2024-04-22,0.63218049,1.26436097,0.45959634,0.67717312,0.00034103,0.00013788,0.00020315,0.00000000,rebalance
2024-04-29,0.63358088,1.26716176,0.68549915,0.46178803,0.00034419,0.00020565,0.00013854,0.00000000,rebalance
2024-05-06,0.52684289,1.05368578,0.48012320,0.48776311,0.00029037,0.00014404,0.00014633,0.00000000,rebalance
2024-05-13,0.69779642,1.39559284,0.65627726,0.64810473,0.00039131,0.00019688,0.00019443,0.00000000,rebalance
2024-05-20,0.52859684,1.05719368,0.49450270,0.50581316,0.00030009,0.00014835,0.00015174,0.00000000,rebalance
2024-05-27,0.78658543,1.57317086,0.78224078,0.68237860,0.00043939,0.00023467,0.00020471,0.00000000,rebalance
