date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-12-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2021-02-01,0.93975191,1.87950381,0.97832816,1.11236375,0.00062721,0.00029350,0.00033371,0.00000000,rebalance
2021-03-01,0.66220301,1.32440602,0.50837630,1.02245154,0.00045925,0.00015251,0.00030674,0.00000000,rebalance
2021-04-01,0.11998124,0.23996248,0.23489086,0.02133546,0.00007687,0.00007047,0.00000640,0.00000000,rebalance
2021-05-03,0.58486186,1.16972372,0.83058232,0.39755865,0.00036844,0.00024917,0.00011927,0.00000000,rebalance
2021-06-01,0.84335202,1.68670404,0.88693142,0.88746374,0.00053232,0.00026608,0.00026624,0.00000000,rebalance
2021-07-02,0.40767622,0.81535244,0.46772178,0.47298453,0.00028221,0.00014032,0.00014190,0.00000000,rebalance
2021-08-02,0.55800202,1.11600404,0.60253803,0.59226591,0.00035844,0.00018076,0.00017768,0.00000000,rebalance
2021-09-01,0.57905355,1.15810710,0.64913582,0.65782229,0.00039209,0.00019474,0.00019735,0.00000000,rebalance
2021-10-04,0.59970082,1.19940164,0.62211704,0.61984526,0.00037259,0.00018664,0.00018595,0.00000000,rebalance
2021-11-01,0.62689607,1.25379215,0.70638774,0.71173685,0.00042544,0.00021192,0.00021352,0.00000000,rebalance
2021-12-01,0.23569971,0.47139941,0.21403071,0.31549590,0.00015886,0.00006421,0.00009465,0.00000000,rebalance
2022-01-03,0.39300743,0.78601487,0.52436666,0.53942642,0.00031914,0.00015731,0.00016183,0.00000000,rebalance
2022-02-04,0.30843896,0.61687792,0.39988038,0.41049592,0.00024311,0.00011996,0.00012315,0.00000000,rebalance
2022-03-01,0.49849837,0.99699675,0.66278438,0.66580105,0.00039858,0.00019884,0.00019974,0.00000000,rebalance
2022-04-01,0.69198993,1.38397986,0.88615275,0.87651927,0.00052880,0.00026585,0.00026296,0.00000000,rebalance
2022-05-03,0.59019079,1.18038158,0.62089403,0.86781252,0.00044661,0.00018627,0.00026034,0.00000000,rebalance
2022-06-01,0.51690541,1.03381083,0.66557468,0.70214347,0.00041032,0.00019967,0.00021064,0.00000000,rebalance
2022-07-04,0.71883315,1.43766630,1.06294247,0.78092072,0.00055316,0.00031888,0.00023428,0.00000000,rebalance
2022-08-01,0.46141599,0.92283197,0.58159731,0.58116398,0.00034883,0.00017448,0.00017435,0.00000000,rebalance
2022-09-01,0.49538942,0.99077883,0.50707576,0.77124420,0.00038350,0.00015212,0.00023137,0.00000000,rebalance
2022-10-03,0.28142294,0.56284588,0.35851943,0.34883444,0.00021221,0.00010756,0.00010465,0.00000000,rebalance
2022-11-01,0.25295592,0.50591184,0.31454604,0.30146929,0.00018480,0.00009436,0.00009044,0.00000000,rebalance
2022-12-01,0.59280228,1.18560457,0.88763609,0.65441896,0.00046262,0.00026629,0.00019633,0.00000000,rebalance
2023-01-03,0.70713241,1.41426482,0.95516675,0.95910199,0.00057428,0.00028655,0.00028773,0.00000000,rebalance
2023-02-01,0.62400028,1.24800056,0.95543165,0.81922060,0.00053240,0.00028663,0.00024577,0.00000000,rebalance
2023-03-01,0.32313985,0.64627970,0.41628342,0.41989815,0.00025085,0.00012489,0.00012597,0.00000000,rebalance
2023-04-03,0.87918218,1.75836435,1.06990501,1.07054714,0.00064214,0.00032097,0.00032116,0.00000000,rebalance
2023-05-02,0.76335573,1.52671145,0.90427068,0.89958615,0.00054116,0.00027128,0.00026988,0.00000000,rebalance
2023-06-01,0.31808998,0.63617996,0.28831060,0.39401479,0.00020470,0.00008649,0.00011820,0.00000000,rebalance
2023-07-03,0.66251402,1.32502805,0.74555022,0.75925016,0.00045144,0.00022367,0.00022778,0.00000000,rebalance
2023-08-01,0.73821737,1.47643474,0.91114071,0.79055184,0.00051051,0.00027334,0.00023717,0.00000000,rebalance
2023-09-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2023-10-03,0.74123208,1.48246415,0.73106458,0.84540872,0.00047294,0.00021932,0.00025362,0.00000000,rebalance
2023-11-01,0.52491859,1.04983719,0.55125586,0.55017342,0.00033043,0.00016538,0.00016505,0.00000000,rebalance
2023-12-01,0.70780792,1.41561584,0.69578774,0.68911051,0.00041547,0.00020874,0.00020673,0.00000000,rebalance
2024-01-02,0.52060083,1.04120165,0.50591838,0.51500894,0.00030628,0.00015178,0.00015450,0.00000000,rebalance
2024-02-01,0.36589722,0.73179444,0.24844214,0.40042186,0.00019466,0.00007453,0.00012013,0.00000000,rebalance
2024-03-01,0.57511956,1.15023911,0.51972112,0.54789447,0.00032028,0.00015592,0.00016437,0.00000000,rebalance
2024-04-02,0.41735886,0.83471771,0.48516290,0.29775601,0.00023488,0.00014555,0.00008933,0.00000000,rebalance
