date,portfolio_return,nav,drawdown,trading_cost
2023-02-01,0.00000000,1.00000000,0.00000000,0.00000000
2023-02-28,-0.04822471,0.95177529,-0.04822471,0.00029991
2023-03-31,0.02449851,0.97509237,-0.02490763,0.00018239
2023-04-28,0.07009829,1.04344468,0.00000000,0.00049942
2023-05-31,-0.09513347,0.94417816,-0.09513347,0.00020251
2023-06-30,0.03989081,0.98184219,-0.05903761,0.00011631
2023-07-31,-0.00856271,0.97343496,-0.06709480,0.00038720
2023-08-31,-0.04497498,0.92965475,-0.10905219,0.00036093
2023-09-29,0.06970797,0.99445909,-0.04694603,0.00000000
2023-10-31,-0.06439348,0.93042241,-0.10831649,0.00028085
2023-11-30,-0.06005457,0.87454630,-0.16186616,0.00023857
2023-12-29,0.03067355,0.90137174,-0.13615761,0.00032526
2024-01-31,0.02323892,0.92231865,-0.11608285,0.00016522
2024-02-29,0.01744905,0.93841223,-0.10065933,0.00025803
2024-03-28,0.01499689,0.95248550,-0.08717202,0.00024284
2024-04-30,0.04325728,0.99368743,-0.04768557,0.00031257
2024-05-31,0.06673023,1.05999642,0.00000000,0.00044955
2024-06-28,0.05102017,1.11407762,0.00000000,0.00051560
2024-07-31,-0.07616720,1.02922144,-0.07616720,0.00057105
2024-08-30,0.02531172,1.05527281,-0.05278340,0.00033928
2024-09-30,0.06810343,1.12714051,0.00000000,0.00051658
2024-10-31,0.01056024,1.13904339,0.00000000,0.00047009
2024-11-29,0.01755316,1.15903719,0.00000000,0.00054621
2024-12-31,0.01367093,1.17488230,0.00000000,0.00025086
2025-01-28,0.00320360,1.17864616,0.00000000,0.00034913
2025-02-28,0.11393739,1.31293802,0.00000000,0.00045793
2025-03-31,0.05472504,1.38478861,0.00000000,0.00042136
2025-04-30,0.04411417,1.44587740,0.00000000,0.00018443
2025-05-30,0.01646123,1.46967832,0.00000000,0.00057733
2025-06-30,0.14019785,1.67572406,0.00000000,0.00074296
2025-07-31,0.02638306,1.71993478,0.00000000,0.00085203
2025-08-29,0.10671380,1.90347555,0.00000000,0.00069152
2025-09-30,0.02423677,1.94960965,0.00000000,0.00079878
2025-10-31,-0.09125698,1.77169416,-0.09125698,0.00078930
2025-11-28,-0.03811949,1.70415809,-0.12589780,0.00052320
2025-12-31,0.00056883,1.70512747,-0.12540058,0.00055068
2026-01-30,0.14156512,1.94651403,-0.00158782,0.00069837
2026-02-27,0.13184523,2.20315262,0.00000000,0.00059912
2026-03-31,-0.00688495,2.18798403,-0.00688495,0.00091869
2026-04-30,0.06528795,2.33083302,0.00000000,0.00065935
