date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2023-02-28,-0.04822471,-0.04792480,-0.04822471,0.00029991,444,high_growth_theme,False,risk_on,0.06515927,0.00000000,0.00000000,6,24,58,0,0.00000000,0.00000000
2023-03-31,0.02449851,0.02469015,0.02449851,0.00018239,445,high_growth_theme,False,risk_on,0.15647283,0.00000000,-0.00951900,6,7,52,0,0.00000000,0.00000000
2023-04-28,0.07009829,0.07061046,0.07009829,0.00049942,448,high_growth_theme,False,risk_on,0.12267986,0.00000000,0.00000000,6,19,49,0,0.00000000,0.00000000
2023-05-31,-0.09513347,-0.09493940,-0.09513347,0.00020251,448,high_growth_theme,False,risk_on,0.16204860,0.00000000,-0.00259040,6,20,60,0,0.00000000,0.00000000
2023-06-30,0.03989081,0.04001400,0.03989081,0.00011631,449,high_growth_theme,False,caution,0.14370153,0.10000000,0.08850974,6,2,62,0,0.00000000,0.00000000
2023-07-31,-0.00856271,-0.00816835,-0.00856271,0.00038720,449,high_growth_theme,False,caution,-0.03581717,0.10000000,0.10034791,6,24,60,0,0.00000000,0.00000000
2023-08-31,-0.04497498,-0.04460420,-0.04497498,0.00036093,452,high_growth_theme,False,risk_on,0.07869138,0.00000000,0.00730339,6,25,65,0,0.00000000,0.00000000
2023-09-29,0.06970797,0.06970797,0.06970797,0.00000000,453,high_growth_theme,False,caution,0.17516078,0.10000000,0.00730339,6,7,63,0,0.00000000,0.00000000
2023-10-31,-0.06439348,-0.06411106,-0.06439348,0.00028085,456,high_growth_theme,False,caution,0.24321655,0.10000000,0.09307433,6,17,58,0,0.00000000,0.00000000
2023-11-30,-0.06005457,-0.05979816,-0.06005457,0.00023857,457,high_growth_theme,False,caution,0.36976567,0.10000000,0.09620450,6,7,57,0,0.00000000,0.00000000
2023-12-29,0.03067355,0.03104548,0.03067355,0.00032526,459,high_growth_theme,False,caution,0.03255460,0.10000000,0.08740276,6,22,63,0,0.00000000,0.00000000
2024-01-31,0.02323892,0.02342222,0.02323892,0.00016522,462,high_growth_theme,False,caution,-0.00353167,0.10000000,0.07949065,6,25,57,0,0.00000000,0.00000000
2024-02-29,0.01744905,0.01772881,0.01744905,0.00025803,466,high_growth_theme,True,risk_off,-0.06982058,0.35000000,0.32064268,6,15,56,0,0.00000000,0.00000000
2024-03-28,0.01499689,0.01525567,0.01499689,0.00024284,466,high_growth_theme,True,risk_off,-0.12445615,0.35000000,0.32642515,6,26,58,0,0.00000000,0.00000000
2024-04-30,0.04325728,0.04358544,0.04325728,0.00031257,468,high_growth_theme,False,caution,-0.04754363,0.10000000,0.09221086,6,11,58,0,0.00000000,0.00000000
2024-05-31,0.06673023,0.06718264,0.06673023,0.00044955,469,high_growth_theme,False,caution,-0.04367122,0.10000000,0.09777451,6,28,63,0,0.00000000,0.00000000
2024-06-28,0.05102017,0.05150658,0.05102017,0.00051560,469,high_growth_theme,False,risk_on,0.11117712,0.00000000,0.00000000,6,22,56,0,0.00000000,0.00000000
2024-07-31,-0.07616720,-0.07565462,-0.07616720,0.00057105,469,high_growth_theme,False,risk_on,0.10725640,0.00000000,0.00000000,6,24,60,0,0.00000000,0.00000000
2024-08-30,0.02531172,0.02564137,0.02531172,0.00033928,471,high_growth_theme,False,risk_on,0.00928023,0.00000000,-0.00733044,6,10,60,0,0.00000000,0.00000000
2024-09-30,0.06810343,0.06859296,0.06810343,0.00051658,471,high_growth_theme,False,risk_on,0.07155690,0.00000000,-0.00398828,6,20,63,0,0.00000000,0.00000000
2024-10-31,0.01056024,0.01097731,0.01056024,0.00047009,474,high_growth_theme,False,risk_on,0.07535769,0.00000000,0.00000000,6,28,69,0,0.00000000,0.00000000
2024-11-29,0.01755316,0.01803269,0.01755316,0.00054621,476,high_growth_theme,False,risk_on,0.36310303,0.00000000,-0.00764656,6,19,66,0,0.00000000,0.00000000
2024-12-31,0.01367093,0.01388737,0.01367093,0.00025086,479,high_growth_theme,False,risk_on,0.30424560,0.00000000,-0.01502168,6,14,61,0,0.00000000,0.00000000
2025-01-28,0.00320360,0.00350077,0.00320360,0.00034913,482,high_growth_theme,False,risk_on,0.27470827,0.00000000,-0.00326722,6,20,55,0,0.00000000,0.00000000
2025-02-28,0.11393739,0.11432591,0.11393739,0.00045793,484,high_growth_theme,False,risk_on,0.49767451,0.00000000,0.00000000,6,16,53,0,0.00000000,0.00000000
2025-03-31,0.05472504,0.05504597,0.05472504,0.00042136,484,high_growth_theme,False,risk_on,0.35401516,0.00000000,0.00000000,6,24,57,0,0.00000000,0.00000000
2025-04-30,0.04411417,0.04424735,0.04411417,0.00018443,484,high_growth_theme,False,risk_on,0.48161478,0.00000000,-0.00000000,6,15,54,0,0.00000000,0.00000000
2025-05-30,0.01646123,0.01686052,0.01646123,0.00057733,485,high_growth_theme,False,risk_on,0.45470692,0.00000000,-0.01306661,6,19,61,0,0.00000000,0.00000000
2025-06-30,0.14019785,0.14070338,0.14019785,0.00074296,487,high_growth_theme,False,risk_on,0.36815634,0.00000000,0.00000000,6,24,61,0,0.00000000,0.00000000
2025-07-31,0.02638306,0.02689151,0.02638306,0.00085203,489,high_growth_theme,False,risk_on,0.52572583,0.00000000,0.01210646,6,30,62,0,0.00000000,0.00000000
2025-08-29,0.10671380,0.10711586,0.10671380,0.00069152,490,high_growth_theme,False,risk_on,0.69319599,0.00000000,0.00000000,6,21,56,0,0.00000000,0.00000000
2025-09-30,0.02423677,0.02465641,0.02423677,0.00079878,492,high_growth_theme,False,risk_on,0.85408993,0.00000000,0.00000000,6,19,61,0,0.00000000,0.00000000
2025-10-31,-0.09125698,-0.09085213,-0.09125698,0.00078930,493,high_growth_theme,False,risk_on,0.59836025,0.00000000,0.00000000,6,27,72,0,0.00000000,0.00000000
2025-11-28,-0.03811949,-0.03782417,-0.03811949,0.00052320,496,high_growth_theme,False,risk_on,0.72001827,0.00000000,0.00239834,6,10,67,0,0.00000000,0.00000000
2025-12-31,0.00056883,0.00089197,0.00056883,0.00055068,499,high_growth_theme,False,risk_on,0.74292762,0.00000000,0.01725699,6,12,64,0,0.00000000,0.00000000
2026-01-30,0.14156512,0.14197469,0.14156512,0.00069837,508,high_growth_theme,False,risk_on,0.67463473,0.00000000,-0.01187239,6,17,69,0,0.00000000,0.00000000
2026-02-27,0.13184523,0.13215302,0.13184523,0.00059912,510,high_growth_theme,False,risk_on,0.65583202,0.00000000,0.00000000,6,32,67,0,0.00000000,0.00000000
2026-03-31,-0.00688495,-0.00646796,-0.00688495,0.00091869,511,high_growth_theme,False,risk_on,0.62534374,0.00000000,0.01937821,6,27,71,0,0.00000000,0.00000000
2026-04-30,0.06528795,0.06558930,0.06528795,0.00065935,514,high_growth_theme,False,risk_on,1.20403335,0.00000000,0.00245599,6,8,74,0,0.00000000,0.00000000
