date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-11-23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-07,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.21997096,0.43994193,0.43994193,0.00000000,0.00013198,0.00013198,0.00000000,0.00000000,rebalance
2021-01-18,0.52650510,1.05301019,0.86147054,0.30189346,0.00034901,0.00025844,0.00009057,0.00000000,rebalance
2021-02-01,0.71990497,1.43980995,0.49133137,1.11714474,0.00048254,0.00014740,0.00033514,0.00000000,rebalance
2021-02-16,0.47414966,0.94829933,0.87406361,0.24906972,0.00033694,0.00026222,0.00007472,0.00000000,rebalance
2021-03-01,0.51247731,1.02495461,0.23321253,0.79528283,0.00030855,0.00006996,0.00023858,0.00000000,rebalance
2021-03-15,0.50427767,1.00855534,0.76630962,0.20483921,0.00029134,0.00022989,0.00006145,0.00000000,rebalance
2021-03-29,0.35395790,0.70791581,0.17081805,0.48678285,0.00019728,0.00005125,0.00014603,0.00000000,rebalance
2021-04-12,0.46877092,0.93754184,0.60156278,0.28168739,0.00026498,0.00018047,0.00008451,0.00000000,rebalance
2021-04-26,0.72385952,1.44771904,0.71157220,0.71637342,0.00042838,0.00021347,0.00021491,0.00000000,rebalance
2021-05-10,0.49336931,0.98673862,0.51366108,0.51396937,0.00030829,0.00015410,0.00015419,0.00000000,rebalance
2021-05-24,0.41699339,0.83398677,0.39814639,0.39838535,0.00023896,0.00011944,0.00011952,0.00000000,rebalance
2021-06-07,0.61628352,1.23256703,0.63285186,0.63323169,0.00037983,0.00018986,0.00018997,0.00000000,rebalance
2021-06-21,0.83126482,1.66252964,0.87792792,0.87845484,0.00052691,0.00026338,0.00026354,0.00000000,rebalance
2021-07-05,0.59715639,1.19431278,0.66374356,0.67255063,0.00040089,0.00019912,0.00020177,0.00000000,rebalance
